date,symbol,ret,proba,buy_price,sell_price
2024-01-29,sh.600119,-0.29059040590137825,0.9852539896965027,10.84,7.69
2024-02-06,sh.600060,-0.037257233452084725,0.9709343910217285,24.07280082,23.17591486
2024-02-06,sh.600009,0.03443244820532642,0.9835143089294434,34.04738208,35.2197168
2024-02-07,sh.600160,0.09917808219123003,0.9621124267578125,18.0097935,19.79597028
2024-02-07,sh.600066,0.008168028004614032,0.9742764830589294,15.30086086,15.42583872
2024-02-20,sh.600160,0.05343511450354126,0.9856761693954468,19.3913667,20.4275466
2024-03-06,sh.600114,0.01391650099394077,0.9792736768722534,14.65783749,14.8618233
2024-03-06,sh.600089,-0.02944785276054906,0.973653256893158,15.7399483,15.27644062
2024-03-07,sh.600114,0.06344827586161852,0.9750152230262756,14.0847345,14.97838662
2024-03-07,sh.600183,0.014509576320283277,0.9634228944778442,16.47718684,16.71626384
2024-03-08,sh.600006,0.20579710144627975,0.9864358305931091,6.869916,8.2837248
2024-03-12,sh.600233,0.10533807829102684,0.9916582703590393,13.36614435,14.77410831
2024-03-12,sh.600038,0.02928660826025144,0.9622594118118286,39.55061985,40.70892336
2024-03-13,sh.600105,0.03921568627372735,0.9614359140396118,5.0121423,5.2086969
2024-03-13,sh.600229,0.16666666666432553,0.9695762395858765,7.11867,8.305115
2024-03-13,sh.600233,0.030323450134556174,0.9875640273094177,14.11769268,14.54578983
2024-03-14,sh.600246,0.01842105263133664,0.9638422131538391,7.6,7.74
2024-03-15,sh.600126,0.11731843575198064,0.9636589884757996,5.31006543,5.933034
2024-03-15,sh.600006,0.05641025640952996,0.9873706102371216,7.765992,8.2040736
2024-03-15,sh.600246,-0.09681528662297048,0.9792283773422241,7.85,7.09
2024-03-18,sh.600081,-0.06706792777241911,0.9779797792434692,11.53059839,10.75726505
2024-03-18,sh.600215,-0.0663265306115569,0.9895099401473999,9.6418378,9.00232815
2024-03-18,sh.600006,-0.08111111111020604,0.978306233882904,8.96076,8.2339428
2024-03-18,sh.600088,-0.04966139954830825,0.9611530900001526,22.11879065,21.02034055
2024-03-18,sh.600218,-0.027811366384180202,0.9673966765403748,8.1266809,7.9006668
2024-03-20,sh.600026,-0.012383900928710934,0.9851914644241333,15.1658513,14.9780389
2024-03-20,sh.600257,0.14604810996312625,0.9851539731025696,5.82,6.67
2024-03-21,sh.600081,-0.08136482939560753,0.967287003993988,11.33230779,10.4102565
2024-03-21,sh.600229,-0.0977011494241043,0.9856777787208557,8.2576572,7.4508746
2024-03-21,sh.600052,-0.03940886699409143,0.9671188592910767,4.01096738,3.8528997
2024-03-22,sh.600255,-0.08837209301914546,0.975033700466156,2.15,1.96
2024-03-22,sh.600229,-0.061797752808257146,0.9909734129905701,8.4474884,7.9254526
2024-03-22,sh.600246,-0.09999999999871799,0.9796745181083679,7.8,7.02
2024-03-25,sh.600198,-0.049253731342548464,0.9778980612754822,6.7,6.37
2024-03-25,sh.600007,0.16446748350526386,0.9655842781066895,19.07035034,22.20680287
2024-03-25,sh.600126,-0.08609271523034664,0.9758074879646301,5.97258756,5.45839128
2024-03-26,sh.600203,0.24191279887142172,0.9864518642425537,7.11,8.83
2024-03-26,sh.600241,-0.020512820512557546,0.9763535261154175,7.8,7.64
2024-03-27,sh.600241,0.08275862068851363,0.9775223731994629,7.25,7.85
2024-03-27,sh.600257,0.28434504791878035,0.9839293956756592,6.26,8.04
2024-03-27,sh.600159,-0.04918032786723996,0.9841951131820679,3.05,2.9
2024-03-28,sh.600198,-0.1130690161510562,0.9868776202201843,6.81,6.04
2024-03-28,sh.600257,0.1714719271597652,0.9825665354728699,6.59,7.72
2024-03-28,sh.600232,0.040816326529728046,0.9788542985916138,4.6162214,4.8046386
2024-03-29,sh.600113,0.015483870967535857,0.9795147180557251,7.51327625,7.62961085
2024-03-29,sh.600203,-0.01851851851828983,0.9919421672821045,8.1,7.95
2024-03-29,sh.600241,-0.023904382469802147,0.9765580296516418,7.53,7.35
2024-03-29,sh.600257,0.17126269956210077,0.9708636999130249,6.89,8.07
2024-04-01,sh.600148,-0.09999999999933604,0.9625602960586548,15.0617668,13.55559012
2024-04-01,sh.600229,-0.043530834340437044,0.968904435634613,7.84952012,7.50782396
2024-04-01,sh.600066,0.03515981735141834,0.9710053205490112,19.5501081,20.23748633
2024-04-01,sh.600081,-0.07873303167348956,0.9624436497688293,10.95555565,10.09299154
2024-04-01,sh.600203,-0.06632653061139884,0.9912994503974915,7.84,7.32
2024-04-01,sh.600113,-0.02611940298473948,0.9670848250389099,7.7944182,7.59083265
2024-04-01,sh.600152,-0.042692939243962315,0.974202573299408,6.09,5.83
2024-04-01,sh.600207,-0.06990291262000194,0.9730451703071594,5.15,4.79
2024-04-01,sh.600268,0.027662517288599444,0.9761161208152771,5.83803702,5.99953182
2024-04-02,sh.600203,-0.14024390243731405,0.9731696844100952,8.2,7.05
2024-04-02,sh.600152,-0.09394904458449123,0.9675959348678589,6.28,5.69
2024-04-02,sh.600215,-0.12087912087789349,0.97368985414505,9.84844861,8.6579768
2024-04-02,sh.600201,-0.03448275862031216,0.963978111743927,9.13498144,8.81998208
2024-04-02,sh.600097,-0.11079545454437267,0.9807799458503723,10.24067616,9.10605579
2024-04-03,sh.600097,-0.1520912547513609,0.9888213872909546,10.20188572,8.65026812
2024-04-03,sh.600281,-0.24454148471081788,0.962753176689148,4.58,3.46
2024-04-03,sh.600215,-0.13070539418949323,0.9744421243667603,9.48442004,8.24475518
2024-04-03,sh.600152,-0.1262458471739826,0.9799088835716248,6.02,5.26
2024-04-03,sh.600241,-0.14266842800339938,0.9674370288848877,7.57,6.49
2024-04-03,sh.600203,-0.2333333333306513,0.9718583226203918,8.7,6.67
2024-04-08,sh.600281,-0.24879227052539146,0.9841631650924683,4.14,3.11
2024-04-08,sh.600255,-0.18095238094376423,0.9862443804740906,2.1,1.72
2024-04-08,sh.600250,-0.1674595623200051,0.9767202734947205,10.51,8.75
2024-04-08,sh.600101,-0.07904191616641229,0.9788846969604492,6.31187355,5.81297097
2024-04-08,sh.600241,-0.224435590966475,0.9596579074859619,7.53,5.84
2024-04-09,sh.600255,-0.15887850466547299,0.9663669466972351,2.14,1.8
2024-04-09,sh.600054,0.009419152276218609,0.9798118472099304,12.31605102,12.43205778
2024-04-09,sh.600173,-0.15531914893281804,0.97221440076828,4.6333352,3.91368952
2024-04-10,sh.600210,-0.0016260162601335769,0.9932075142860413,5.6067705,5.5976538
2024-04-10,sh.600149,-0.2553191489307379,0.9846270680427551,4.7,3.5
2024-04-11,sh.600031,-0.015624999999899006,0.962445080280304,15.463552,15.221934
2024-04-12,sh.600054,-0.015441176470470882,0.9681665897369385,13.1474328,12.94442097
2024-04-15,sh.600078,0.09640287769644754,0.9750849604606628,6.91507625,7.5817095
2024-04-15,sh.600096,-0.0406504065038487,0.9933173656463623,18.79476531,18.03075046
2024-04-15,sh.600176,0.08863025962316477,0.9691661596298218,10.70169775,11.650192
2024-04-15,sh.600060,0.011346444780590494,0.9691897034645081,25.22730296,25.51354316
2024-04-17,sh.600210,0.016750418760161166,0.9911963939666748,5.4426699,5.5338369
2024-04-17,sh.600012,-0.03124999999977968,0.9677349328994751,14.18867712,13.74528096
2024-04-18,sh.600210,-0.0033167495853460814,0.9856298565864563,5.4973701,5.4791367
2024-04-19,sh.600203,-0.014450867051814243,0.9686815738677979,6.92,6.82
2024-04-22,sh.600054,-0.0823262839872722,0.9803918600082397,12.79941252,11.74568445
2024-04-25,sh.600078,0.026760563379902805,0.984114408493042,7.0643225,7.25336775
2024-04-26,sh.600176,0.06751054852261215,0.9601318836212158,11.35318875,12.11964875
2024-04-26,sh.600078,0.02292263610282175,0.9690458178520203,6.9449255,7.1041215
2024-04-26,sh.600094,0.027918781725172957,0.9736929535865784,3.9022351,4.01118075
2024-04-29,sh.600094,-0.07943925233457454,0.9782860279083252,4.2389762,3.9022351
2024-04-30,sh.600094,0.06345177664812018,0.9738675951957703,3.9022351,4.14983885
2024-05-06,sh.600062,0.026075619295840482,0.9726190567016602,22.12786563,22.70486343
2024-05-06,sh.600096,-0.0009345794392475415,0.9602782726287842,19.2351974,19.21722058
2024-05-06,sh.600176,0.02096774193530736,0.9716408848762512,11.88013,12.1292295
2024-05-06,sh.600132,0.03493150684926324,0.9610195755958557,67.231394,69.5798879
2024-05-06,sh.600210,-0.07221350078368588,0.974597156047821,5.8073379,5.3879697
2024-05-07,sh.600183,-0.011274509803863736,0.9757881760597229,19.5086832,19.28873236
2024-05-07,sh.600216,-0.011839708560908041,0.9682439565658569,10.57274082,10.44756265
2024-05-08,sh.600101,0.2874583795740258,0.9772036075592041,6.81077613,8.7685908
2024-05-10,sh.600101,0.22870370370090212,0.9797027707099915,8.1638604,10.03096551
2024-05-13,sh.600101,0.25555555555242515,0.9856943488121033,8.1638604,10.25018028
2024-05-13,sh.600094,0.17349397589939344,0.9863181114196777,4.11022225,4.82332105
2024-05-14,sh.600094,0.09468822170679911,0.9702034592628479,4.28849695,4.6945671
2024-05-15,sh.600094,0.08924485125651913,0.9668015241622925,4.32811355,4.7143754
2024-05-16,sh.600216,-0.05051449953178249,0.9665447473526001,10.29349721,9.77352635
2024-05-16,sh.600048,0.03206997084515391,0.9609689116477966,9.7988583,10.1131074
2024-05-17,sh.600048,-0.052017937219240966,0.9815812110900879,10.6178105,10.0654939
2024-05-17,sh.600153,-0.055480337386632675,0.9814903736114502,9.8660413,9.31867
2024-05-17,sh.600266,0.04958677685845282,0.9790171980857849,4.7168462,4.9507394
2024-05-17,sh.600239,-0.10788381742290948,0.9826362133026123,2.41,2.15
2024-05-20,sh.600094,-0.03711340206108309,0.960701048374176,4.80351275,4.62523805
2024-05-20,sh.600048,-0.055555555555024096,0.9778692126274109,10.4559246,9.8750399
2024-05-20,sh.600266,-0.06809338521264847,0.9694418907165527,5.0092127,4.66811845
2024-05-20,sh.600096,-0.022726525299991137,0.9775077700614929,19.774502,19.32509628
2024-05-20,sh.600184,-0.06493506493441184,0.960092306137085,9.94282289,9.29718504
2024-05-21,sh.600094,-0.04303278688435557,0.9698264598846436,4.8332252,4.62523805
2024-05-24,sh.600021,0.002991026919210771,0.9706476926803589,9.52445791,9.55294582
2024-05-24,sh.600121,-0.10659898476886803,0.9707411527633667,3.94,3.52
2024-05-24,sh.600094,-0.11040339702523407,0.9633411169052124,4.66485465,4.14983885
2024-05-24,sh.600149,-0.14418604650827466,0.9781978726387024,4.3,3.68
2024-05-27,sh.600026,-0.0022650056625006095,0.9792478084564209,16.58383492,16.54627244
2024-05-27,sh.600268,-0.01953124999968503,0.967395007610321,6.20140032,6.08027922
2024-05-28,sh.600171,0.2556943423933993,0.9771450161933899,13.46868737,16.91255453
2024-05-28,sh.600021,-0.018129770992184352,0.9805673956871033,9.95177656,9.77135313
2024-05-30,sh.600052,-0.08609271522986427,0.9712097644805908,4.47529119,4.09000122
2024-05-30,sh.600078,-0.08791208791100923,0.980699360370636,8.14884525,7.43246325
2024-05-30,sh.600171,0.11161290322507875,0.9860159754753113,15.3390635,17.05110091
2024-05-31,sh.600162,-0.11468531720406958,0.9777591228485107,1.605744,1.42158874
2024-05-31,sh.600171,0.1843749999988355,0.9919641017913818,15.833872,18.75324215
2024-06-07,sh.600266,-0.07929515418322987,0.9683000445365906,4.4244797,4.0736399
2024-06-13,sh.600246,0.037894736841706314,0.9916768074035645,9.5,9.86
2024-06-14,sh.600246,-0.10494450050348199,0.9828858971595764,9.91,8.87
2024-06-14,sh.600266,-0.12443438913738267,0.972926914691925,4.3075331,3.77152785
2024-06-17,sh.600246,-0.16837782340689555,0.974612295627594,9.74,8.1
2024-06-24,sh.600101,0.045349730975711065,0.9618964195251465,9.83442813,10.2804168
