date,close,open,high,low,vol,buy_count,sell_count,buy_signal,sell_signal,position,returns,cum_strategy_ret,cum_benchmark_ret,trade_log
2020-01-02,13.97461877,13.79237715,14.04088845,13.70954005,153023187.0,0,0,False,False,0,0.0,1.0,1.0,
2020-01-03,14.23141378,14.03260474,14.33910201,14.01603732,111619481.0,0,0,False,False,0,0.0,1.0,1.0183758150563131,
2020-01-06,14.14029297,14.09059071,14.36395314,14.00775361,86208350.0,0,0,False,False,0,0.0,1.0,1.0118553645524602,
2020-01-07,14.20656265,14.18999523,14.31425088,14.04088845,72860756.0,0,0,False,False,0,0.0,1.0,1.0165975103734441,
2020-01-08,13.80066086,14.082307,14.12372555,13.77580973,84782412.0,1,0,False,False,0,0.0,1.0,0.9875518672199171,
2020-01-09,13.90834909,13.92491651,14.02432103,13.69297263,103163665.0,2,0,False,False,0,0.0,1.0,0.995257854179016,
2020-01-10,13.82551199,13.90834909,13.92491651,13.68468892,58554845.0,3,0,False,False,0,0.0,1.0,0.9893301719027862,
2020-01-13,14.07402329,13.87521425,14.10715813,13.75924231,87213336.0,4,0,False,False,0,0.0,1.0,1.007113218731476,
2020-01-14,13.88349796,14.07402329,14.30596717,13.88349796,130449366.0,0,1,False,False,0,0.0,1.0,0.993479549496147,
2020-01-15,13.68468892,13.90834909,13.96633506,13.62670295,85943912.0,1,0,False,False,0,0.0,1.0,0.979253112033195,
2020-01-16,13.52729843,13.68468892,13.72610747,13.4196102,102810467.0,2,0,False,False,0,0.0,1.0,0.967990515708358,
2020-01-17,13.57700069,13.56871698,13.70954005,13.54386585,60543669.0,3,0,False,False,0,0.0,1.0,0.9715471250740961,
2020-01-20,13.62670295,13.61013553,13.75924231,13.54386585,74607475.0,4,0,False,False,0,0.0,1.0,0.9751037344398341,
2020-01-21,13.253936,13.53558214,13.53558214,13.19595003,89660310.0,5,0,False,False,0,0.0,1.0,0.948429164196799,
2020-01-22,13.32848939,13.18766632,13.38647536,13.01370841,71946491.0,6,0,False,False,0,0.0,1.0,0.9537640782454061,
2020-01-23,12.87288534,13.18766632,13.18766632,12.74862969,110059207.0,7,0,False,False,0,0.0,1.0,0.9211618257261411,
2020-02-03,11.58891029,11.58891029,12.1770537,11.58891029,225919483.0,8,0,False,False,0,0.0,1.0,0.8292827504445762,
2020-02-04,12.0942166,11.63861255,12.14391886,11.61376142,170617207.0,9,0,True,False,0,0.0,1.0,0.8654416123295792,
2020-02-05,12.11906773,12.08593289,12.33444419,11.86227272,149138021.0,10,0,False,False,1,0.0,1.0,0.8672199170124482,买入 @ 12.10
2020-02-06,12.23503967,12.26817451,12.31787677,12.01966321,118581572.0,11,0,False,False,1,0.009569377990430741,1.0095693779904307,0.8755186721991702,
2020-02-07,12.11078402,12.0942166,12.16876999,11.93682611,92485296.0,0,1,False,False,1,-0.010155721056195012,0.9993164730006836,0.8666271487848252,
2020-02-10,12.0113795,12.01966321,12.03623063,11.8457053,133949524.0,1,0,False,False,1,-0.008207934336525325,0.991114149008886,0.8595139300533492,
2020-02-11,12.25160709,12.0942166,12.37586274,12.06108176,140750744.0,0,1,False,False,1,0.019999999999999993,1.0109364319890637,0.8767042086544162,
2020-02-12,12.23503967,12.25160709,12.27645822,12.0942166,107050321.0,0,0,False,False,1,-0.0013522650439485686,1.0095693779904307,0.8755186721991702,
2020-02-13,12.13563515,12.18533741,12.32616048,12.10250031,101320528.0,0,1,False,False,1,-0.00812457684495601,1.001367053998633,0.8684054534676943,
2020-02-14,12.45041613,12.21847225,12.54153694,12.1770537,151243473.0,0,2,False,False,1,0.02593856655290103,1.027341079972659,0.8909306461173682,
2020-02-17,12.73206227,12.45869984,12.73206227,12.36757903,154369601.0,0,3,False,False,1,0.022621423819028562,1.050580997949419,0.9110847658565502,
2020-02-18,12.5912392,12.69892743,12.69892743,12.43384871,97361235.0,0,4,False,False,1,-0.011060507482107981,1.0389610389610389,0.9010077059869592,
2020-02-19,12.62437404,12.5084021,12.73206227,12.49183468,87410693.0,0,5,False,False,1,0.0026315789473683325,1.0416951469583047,0.9033787788974511,
2020-02-20,12.91430389,12.64922517,12.93915502,12.5084021,123544434.0,0,6,False,False,1,0.022965879265091867,1.0656185919343812,0.9241256668642561,
2020-02-21,12.90602018,12.83146679,13.02199212,12.79833195,99507102.0,0,7,False,False,1,-0.0006414368184732901,1.0649350649350648,0.9235328986366331,
2020-02-24,12.61609033,12.80661566,12.80661566,12.54982065,119179450.0,0,8,False,False,1,-0.02246469833119384,1.0410116199589883,0.9027860106698282,
2020-02-25,12.45869984,12.425565,12.53325323,12.24332338,114457502.0,1,0,False,False,1,-0.012475377544320494,1.0280246069719752,0.8915234143449912,
2020-02-26,12.41728129,12.23503967,12.64922517,12.1770537,117659915.0,2,0,False,False,1,-0.0033244680851063427,1.024606971975393,0.8885595732068762,
2020-02-27,12.51668581,12.39243016,12.54982065,12.33444419,97527090.0,3,0,False,False,1,0.008005336891260859,1.0328092959671906,0.8956727919383521,
2020-02-28,12.0113795,12.30130935,12.45869984,11.97824466,130064445.0,4,0,False,False,1,-0.040370615486432816,0.9911141490088857,0.8595139300533492,
2020-03-02,12.25160709,12.05279805,12.38414645,11.97824466,111658066.0,5,0,False,False,1,0.019999999999999993,1.0109364319890635,0.8767042086544162,
2020-03-03,12.19362112,12.39243016,12.41728129,12.11906773,115358432.0,6,0,False,False,1,-0.004732927653820208,1.0061517429938482,0.8725548310610551,
2020-03-04,12.16876999,12.16048628,12.24332338,12.01966321,86259523.0,7,0,False,False,1,-0.0020380434782608743,1.0041011619958988,0.8707765263781861,
2020-03-05,12.74862969,12.2598908,12.95572244,12.20190483,268660240.0,0,1,False,False,1,0.04765146358066713,1.051948051948052,0.9122703023117961,
2020-03-06,12.45041613,12.57467178,12.64922517,12.44213242,122853103.0,0,2,False,False,1,-0.023391812865496988,1.027341079972659,0.8909306461173682,
2020-03-09,11.96996095,12.18533741,12.20190483,11.94510982,166579354.0,1,0,False,False,1,-0.038589487691284084,0.9876965140123035,0.8565500889152342,
2020-03-10,12.22675596,11.91197498,12.30130935,11.91197498,116786497.0,0,1,False,False,1,0.02145328719723178,1.008885850991114,0.8749259039715472,
2020-03-11,12.16876999,12.23503967,12.32616048,12.11078402,81438164.0,1,0,False,False,1,-0.0047425474254743135,1.0041011619958986,0.8707765263781861,
2020-03-12,12.16048628,12.13563515,12.29302564,12.03623063,98649711.0,2,0,False,False,1,-0.0006807351940094345,1.0034176349965822,0.8701837581505633,
2020-03-13,12.02794692,11.5143569,12.07764918,11.5143569,116976580.0,0,1,False,False,1,-0.010899182561307974,0.9924812030075186,0.8606994665085952,
2020-03-16,11.39010125,11.96996095,11.97824466,11.39010125,140620218.0,1,0,False,False,1,-0.05303030303030295,0.9398496240601503,0.8150563129816243,
2020-03-17,11.10845511,11.39010125,11.57234287,10.87651123,117784906.0,2,0,False,False,1,-0.02472727272727283,0.9166097060833901,0.7949021932424422,
2020-03-18,10.52859541,11.10845511,11.22442705,10.47889315,138478437.0,3,0,False,False,1,-0.05219985085756899,0.8687628161312371,0.7534084173088322,
2020-03-19,10.13097733,10.50374428,10.55344654,9.86589861,189145713.0,4,0,False,False,1,-0.037765538945711954,0.8359535201640464,0.7249555423829284,
2020-03-20,10.37120492,10.2718004,10.50374428,10.15582846,157835296.0,5,0,False,False,1,0.023712183156173336,0.8557758031442241,0.7421458209839953,
2020-03-23,10.06470765,9.940452,10.23038185,9.88246603,107111364.0,6,0,False,False,1,-0.029552715654952027,0.8304853041695146,0.7202133965619444,
2020-03-24,10.44575831,10.2718004,10.50374428,10.16411217,118020026.0,7,0,False,False,1,0.03786008230452671,0.8619275461380723,0.7474807350326024,
2020-03-25,10.66113477,10.66941848,10.82680897,10.5203117,113695774.0,0,1,False,False,1,0.020618556701030917,0.8796992481203005,0.7628927089508003,
2020-03-26,10.81852526,10.58658138,11.05046914,10.53687912,107519243.0,0,2,False,False,1,0.014763014763014684,0.8926862611073134,0.7741553052756373,
2020-03-27,10.89307865,10.97591575,11.08360398,10.83509268,65301888.0,0,3,False,False,1,0.006891271056661577,0.8988380041011617,0.7794902193242442,
2020-03-30,10.71912074,10.64456735,10.80195784,10.57001396,66173879.0,0,4,False,False,1,-0.015969581749049465,0.8844839371155157,0.7670420865441612,
2020-03-31,10.6031488,10.81024155,10.84337639,10.58658138,51337030.0,1,0,False,False,1,-0.010819165378670758,0.8749145591250851,0.7587433313574392,
2020-04-01,10.67770219,10.65285106,10.87651123,10.61971622,52083604.0,2,0,False,False,1,0.007031250000000016,0.8810663021189333,0.7640782454060463,
2020-04-02,10.74397187,10.56173025,10.74397187,10.48717686,51836504.0,3,0,False,False,1,0.006206361520558531,0.8865345181134651,0.7688203912270303,
2020-04-03,10.44575831,10.61971622,10.67770219,10.39605605,82534814.0,4,0,False,False,1,-0.027756360832690723,0.8619275461380721,0.7474807350326024,
2020-04-07,10.66941848,10.67770219,10.71912074,10.61143251,87031371.0,0,1,False,False,1,0.021411578112608916,0.8803827751196168,0.7634854771784232,
2020-04-08,10.58658138,10.66941848,10.70255332,10.53687912,52871614.0,1,0,False,False,1,-0.00776397515527941,0.8735475051264522,0.7575577949021933,
