时间,价格,最低价,最高价,成交量,信号原因
2024-10-14 20:24:10,1592.81,1592.0,1616.0,1173500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-14 20:24:10,1615.11,1598.79,1616.16,433500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-14 20:24:10,1613.77,1603.66,1619.87,623500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-14 20:24:10,1606.72,1600.95,1613.99,371000.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-14 20:24:10,1601.05,1598.0,1608.75,346200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-14 20:24:10,1601.99,1599.0,1604.55,495900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-18 20:24:10,1510.01,1498.93,1525.65,909100.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-18 20:24:10,1525.2,1506.95,1525.98,611600.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-18 20:24:10,1541.2,1518.56,1542.0,997100.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-18 20:24:10,1541.0,1540.09,1567.0,1714200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,1523.98,1521.33,1548.79,1406100.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,1535.14,1522.74,1537.0,512400.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,1526.53,1525.0,1539.6,449900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,1532.01,1525.2,1535.0,273400.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,1530.07,1527.21,1538.55,474100.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,1527.0,1526.0,1532.92,315300.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,1526.99,1523.01,1528.97,322200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,1528.8,1526.01,1529.82,475500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,1552.46,1524.2,1559.62,1437200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,1552.0,1545.18,1559.99,558700.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,1544.29,1541.55,1556.43,361000.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,1546.5,1542.89,1546.78,165600.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,1544.95,1540.5,1554.74,292500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,1539.97,1537.07,1547.0,265200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,1540.3,1537.5,1541.0,201200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,1543.0,1538.0,1543.0,348300.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,1550.3,1533.0,1554.95,725500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,1556.08,1549.63,1559.99,617400.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,1558.15,1556.0,1573.37,603800.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,1566.66,1555.55,1569.99,260900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,1567.29,1562.02,1576.8,667500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,1572.12,1567.01,1572.88,349600.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,1569.0,1561.08,1572.01,377200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,1567.5,1562.33,1569.71,411200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-24 20:24:10,1557.0,1556.83,1574.95,757600.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-25 20:24:10,1567.33,1563.8,1574.17,457800.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-29 20:24:10,1557.53,1552.0,1580.0,1170700.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2025-01-03 20:25:01,1489.11,1485.5,1494.6,690100.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2025-01-03 20:25:01,1487.27,1486.0,1493.72,320500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
